,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,OtherFuelUse_kBtu,GHGEmissions_MetricTonsCO2e,GHGEmissionsIntensity_kgCO2e_ft2
5248,23782,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,33852,33852.0,512.0,0.0,,75.0,921786.375,0.0,921786.0,0.0,0.375,6.43,0.19
5249,23783,Multifamily LR (1-4),Low-Rise Multifamily,BALLARD,1.0,20599,17514.0,3085.0,0.0,,,505601.0,0.0,505601.0,0.0,0.0,3.52,0.17
5250,23789,Multifamily HR (10+),High-Rise Multifamily,EAST,1.0,54860,66150.0,0.0,0.0,,21.0,2496807.5,0.0,2496807.0,0.0,0.5,17.41,0.26
5251,23791,Multifamily LR (1-4),Low-Rise Multifamily,EAST,1.0,29896,25507.0,0.0,0.0,,24.0,817695.375,0.0,817696.0,0.0,0.0,5.7,0.19
5253,23807,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,49291,49291.0,0.0,0.0,,81.0,1125886.625,0.0,1125886.0,0.0,0.625,7.85,0.16
5254,23814,Multifamily HR (10+),High-Rise Multifamily,CENTRAL,1.0,97978,97978.0,0.0,0.0,,85.0,2630929.5,0.0,2630929.0,0.0,0.5,18.34,0.19
5256,23816,Multifamily MR (5-9),Mid-Rise Multifamily,CENTRAL,1.0,371442,235146.0,157763.0,2351.0,,97.0,9977330.0,0.0,5180295.0,4797034.0,1.0,290.88,0.78
5257,23826,Multifamily LR (1-4),Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,21608,21608.0,0.0,0.0,,79.0,505949.0938,0.0,505949.0,0.0,0.09379999997327104,3.53,0.16
5258,23828,Multifamily LR (1-4),Low-Rise Multifamily,BALLARD,1.0,33733,24435.0,9298.0,0.0,,90.0,905926.75,0.0,498138.0,407789.0,0.0,25.13,0.74
5259,23834,NonResidential,Warehouse,GREATER DUWAMISH,1.0,26094,26094.0,0.0,0.0,,19.0,709990.625,0.0,709991.0,0.0,0.0,4.95,0.19
5260,23835,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,23687,23687.0,0.0,0.0,,68.0,1084553.5,0.0,1084554.0,0.0,0.0,7.56,0.32
