,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,OtherFuelUse_kBtu,GHGEmissions_MetricTonsCO2e,GHGEmissionsIntensity_kgCO2e_ft2
3340,1,NonResidential,Hotel,DOWNTOWN,1.0,88434,88434.0,0.0,0.0,,60.0,7226362.5,2003882.0,3946027.0,1276453.0,0.5,249.98,2.83
3341,2,NonResidential,Hotel,DOWNTOWN,1.0,88502,83880.0,15064.0,4622.0,,61.0,8387933.0,0.0,3242851.0,5145082.0,0.0,295.86,2.86
3342,3,NonResidential,Hotel,DOWNTOWN,1.0,759392,756493.0,0.0,0.0,,43.0,72587024.0,21566554.0,49526664.0,1493800.0,6.0,2089.28,2.19
3343,5,NonResidential,Hotel,DOWNTOWN,1.0,61320,61320.0,0.0,0.0,,56.0,6794584.0,2214446.25,2768924.0,1811213.0,0.75,286.43,4.67
3344,8,NonResidential,Hotel,DOWNTOWN,1.0,113580,123445.0,68009.0,0.0,,75.0,14172606.0,0.0,5368607.0,8803998.0,1.0,505.01,2.88
3345,9,Nonresidential COS,Other,DOWNTOWN,1.0,60090,88830.0,0.0,0.0,,,12086616.0,0.0,7371434.0,4715182.0,0.0,301.81,3.1
3346,10,NonResidential,Hotel,DOWNTOWN,1.0,83008,81352.0,0.0,0.0,,27.0,5758795.0,0.0,2811215.0,2947580.0,0.0,176.14,2.12
3347,11,NonResidential,Other,DOWNTOWN,1.0,102761,102761.0,0.0,0.0,,,6298131.5,2276286.5,3636655.0,385189.0,1.0,221.51,2.16
3348,12,NonResidential,Hotel,DOWNTOWN,1.0,163984,163984.0,0.0,0.0,,43.0,13723820.0,0.0,7297919.0,6425900.0,1.0,392.16,2.39
3349,13,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1.0,62216,56132.0,0.0,0.0,,1.0,4573777.0,1039735.188,2532015.0,1002026.0,0.8119999999180436,151.12,2.37
3350,15,NonResidential,Hotel,DOWNTOWN,1.0,133884,133884.0,0.0,0.0,,30.0,16016644.0,5237165.5,6187627.0,4591850.0,1.5,691.26,4.51
3351,16,NonResidential,Hotel,DOWNTOWN,1.0,272015,336640.0,0.0,0.0,,36.0,26941110.0,5999360.5,18083049.0,2858700.0,0.5,740.97,2.22
3352,17,NonResidential,Hotel,DOWNTOWN,1.0,65009,65009.0,0.0,0.0,,48.0,6596057.5,1656352.5,1343000.0,3596705.0,0.0,328.23,5.05
3353,18,NonResidential,Hotel,DOWNTOWN,1.0,258352,295511.0,57600.0,0.0,,58.0,22325364.0,4337738.5,13904183.0,4083440.0,2.5,648.62,2.05
3354,19,NonResidential,Hotel,DOWNTOWN,1.0,66990,67390.0,25200.0,0.0,,35.0,10750010.0,4870847.5,3832369.0,2046793.0,0.5,511.39,5.55
3355,21,Nonresidential COS,Other,DOWNTOWN,1.0,355000,364913.0,49000.0,1074.0,,,18588860.0,737559.5,17851297.0,0.0,3.5,181.38,0.44
3356,22,NonResidential,Other,DOWNTOWN,1.0,103911,90000.0,40000.0,0.0,,,9956396.0,4592347.5,4453868.0,910180.0,0.5,433.86,4.18
3357,23,NonResidential,Hotel,DOWNTOWN,1.0,331281,348329.0,85000.0,0.0,,31.0,33556756.0,0.0,21225277.0,12331475.0,4.0,802.89,1.93
3358,24,NonResidential,Mixed Use Property,DOWNTOWN,1.0,57452,16442.0,15505.0,9741.0,,,7606084.5,1776201.875,3764791.0,2065091.0,0.625,273.02,4.75
3359,25,NonResidential,Hotel,DOWNTOWN,1.0,104352,104352.0,0.0,0.0,,39.0,10154608.0,3430862.0,5908370.0,815376.0,0.0,349.32,3.35
3360,26,NonResidential,Other,DOWNTOWN,1.0,540360,537150.0,0.0,0.0,,76.0,44984468.0,0.0,24357833.0,20626631.0,4.0,1265.29,2.34
3361,27,NonResidential,Other,DOWNTOWN,1.0,385274,385274.0,0.0,0.0,,,47859812.0,0.0,18257661.0,29602150.0,1.0,1699.45,4.41
3363,29,NonResidential,Hotel,NORTHEAST,1.0,58006,58006.0,30586.0,0.0,,84.0,3663534.5,0.0,2266231.0,1397303.0,0.5,90.01,1.02
3364,30,NonResidential,University,DOWNTOWN,1.0,126593,125000.0,0.0,0.0,,,11343686.0,0.0,4647474.0,6696211.0,1.0,388.04,3.07
3365,31,NonResidential,Other,DOWNTOWN,1.0,67224,67224.0,0.0,0.0,,,1310236.625,0.0,1310236.0,0.0,0.625,9.13,0.14
3366,32,NonResidential,Hotel,EAST,1.0,128375,112676.0,42000.0,4500.0,,,5328051.0,0.0,572307.0,4755745.0,0.0,256.57,1.62
3367,33,NonResidential,Hotel,DOWNTOWN,1.0,133585,128909.0,0.0,0.0,,57.0,11061916.0,0.0,5610706.0,5451210.0,0.0,328.63,1.91
3369,35,NonResidential,Hotel,DOWNTOWN,1.0,52210,47994.0,0.0,0.0,,57.0,4456714.5,0.0,2346349.0,2110365.0,0.5,128.44,1.88
3372,38,NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,87262,40943.0,18153.0,4307.0,,,4145920.5,0.0,1352843.0,2793077.0,0.5,157.77,1.81
3373,40,NonResidential,Hotel,NORTHEAST,1.0,81871,81871.0,0.0,0.0,,29.0,6668568.5,0.0,3016399.0,3652169.0,0.5,215.0,2.63
3374,41,NonResidential,Self-Storage Facility,NORTHEAST,1.0,110356,26225.0,0.0,0.0,,,318364.625,0.0,281265.0,37100.0,0.0,3.93,0.04
3375,43,Campus,Mixed Use Property,GREATER DUWAMISH,1.0,494835,757027.0,639931.0,459748.0,,8.0,448385312.0,0.0,150476283.0,297909000.0,29.0,16870.98,34.09
3376,46,NonResidential,Warehouse,GREATER DUWAMISH,3.0,714095,616000.0,276000.0,71000.0,,,44731160.0,0.0,44731153.0,0.0,7.0,311.84,0.44
3377,50,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,54986,54986.0,0.0,0.0,2016,97.0,1650279.25,0.0,1217589.0,432690.0,0.25,31.47,0.57
3379,52,NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,94900,55586.0,39314.0,0.0,,57.0,6186461.5,0.0,4291585.0,1894876.0,0.5,130.56,1.38
3380,53,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,52554,51029.0,7849.0,0.0,,83.0,2951331.25,0.0,1579749.0,1371582.0,0.25,83.86,1.6
3381,54,NonResidential,K-12 School,NORTHWEST,1.0,175015,175015.0,0.0,0.0,,95.0,6994740.5,0.0,2679739.0,4315001.0,0.5,247.85,1.42
3382,55,NonResidential,Self-Storage Facility,DOWNTOWN,1.0,70586,38439.0,28197.0,3859.0,,,2158629.0,0.0,1500229.0,658400.0,0.0,45.43,0.64
3383,56,NonResidential,Hotel,DOWNTOWN,1.0,126240,348630.0,0.0,0.0,,67.0,16163194.0,0.0,12204406.0,3958787.0,1.0,295.33,0.89
3384,57,NonResidential,Large Office,DOWNTOWN,1.0,168115,103362.0,65676.0,493.0,2016,78.0,9536161.0,0.0,9536160.0,0.0,1.0,66.48,0.4
3385,58,NonResidential,Other,DOWNTOWN,1.0,57428,51747.0,5681.0,0.0,,,1247362.0,0.0,714939.0,532423.0,0.0,33.26,0.58
3386,59,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,59400,34947.0,4993.0,0.0,,14.0,5071974.0,0.0,5071973.0,0.0,1.0,35.36,0.6
3387,60,NonResidential,Mixed Use Property,DOWNTOWN,1.0,52549,23500.0,23500.0,5459.0,,,15026196.0,0.0,4632459.0,10393737.0,0.0,584.31,11.12
3388,62,NonResidential,Hotel,DOWNTOWN,1.0,88591,83591.0,10043.0,5000.0,,71.0,4841347.5,0.0,4290059.0,551288.0,0.5,59.19,0.6
3389,63,NonResidential,Hotel,DOWNTOWN,1.0,847518,994212.0,117668.0,0.0,,63.0,80469216.0,11598686.0,45545529.0,23324992.0,9.0,2451.58,2.47
3390,65,NonResidential,Hotel,DOWNTOWN,1.0,71150,41340.0,13730.0,9604.0,,98.0,5348309.0,0.0,3243900.0,2104408.0,1.0,134.38,1.89
3391,66,NonResidential,Hotel,DOWNTOWN,1.0,122810,88360.0,26450.0,8000.0,,99.0,5401277.5,0.0,1293561.0,4107716.0,0.5,227.18,1.85
3392,67,NonResidential,Hotel,LAKE UNION,1.0,70627,70627.0,42546.0,0.0,,86.0,5284343.5,0.0,2944680.0,2339663.0,0.5,144.79,1.28
3393,68,NonResidential,Hotel,LAKE UNION,1.0,115718,107547.0,3000.0,0.0,2014,84.0,6715187.0,0.0,3396109.0,3319078.0,0.0,199.95,1.33
3394,69,NonResidential,Hotel,LAKE UNION,1.0,88100,88490.0,28300.0,0.0,,80.0,5827595.5,0.0,3188457.0,2639138.0,0.5,162.39,1.4
3395,70,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,118858,155602.0,0.0,0.0,,81.0,6836900.0,0.0,4558937.0,2277962.0,1.0,152.76,0.98
3396,73,NonResidential,K-12 School,EAST,1.0,56072,56072.0,0.0,0.0,,76.0,3234787.75,0.0,551867.0,2682920.0,0.75,146.34,2.61
3397,77,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,78051,78051.0,44891.0,0.0,,94.0,5337334.0,0.0,2423730.0,2913604.0,0.0,171.64,1.4
3398,82,NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,54984,54984.0,0.0,0.0,,71.0,3375211.0,0.0,1978230.0,1396981.0,0.0,87.98,1.6
3399,84,NonResidential,Senior Care Community,SOUTHWEST,1.0,217603,296313.0,0.0,0.0,,54.0,42792072.0,0.0,11824772.0,30967300.0,0.0,1727.11,7.94
3400,85,NonResidential,Senior Care Community,NORTHWEST,1.0,93397,93397.0,0.0,0.0,,1.0,16402563.0,0.0,5679498.0,10723064.0,1.0,609.1,6.52
3401,86,NonResidential,Hotel,LAKE UNION,1.0,63371,63371.0,20732.0,0.0,,74.0,3706100.25,0.0,2812688.0,893412.0,0.25,67.06,0.8
3403,89,NonResidential,Medical Office,EAST,1.0,179014,179014.0,0.0,0.0,,48.0,16701055.0,0.0,9886484.0,6814570.0,1.0,430.84,2.41
3404,95,NonResidential,Hotel,EAST,1.0,76631,76631.0,0.0,0.0,,71.0,7258758.5,0.0,2660742.0,4598016.0,0.5,262.75,3.43
3405,96,NonResidential,Mixed Use Property,EAST,1.0,90439,40174.0,20868.0,17020.0,,,15473117.0,5327802.5,10145313.0,0.0,1.5,481.97,4.83
3406,98,NonResidential,Retail Store,LAKE UNION,1.0,58320,72072.0,0.0,0.0,,96.0,1049748.625,0.0,361803.0,687945.0,0.625,39.06,0.67
3407,100,NonResidential,Large Office,LAKE UNION,1.0,316306,261826.0,150726.0,15139.0,,96.0,13795954.0,0.0,12871091.0,924861.0,2.0,138.85,0.44
3408,102,NonResidential,Hotel,LAKE UNION,1.0,238097,235788.0,51537.0,0.0,,37.0,19459304.0,0.0,10980652.0,8478651.0,1.0,526.85,1.86
3412,107,NonResidential,Large Office,LAKE UNION,1.0,571329,598801.0,310699.0,26203.0,,91.0,39605888.0,0.0,32206199.0,7399685.0,4.0,617.52,1.08
3414,111,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,60696,108000.0,0.0,0.0,,,875943.3125,0.0,875943.0,0.0,0.3125,6.11,0.1
3416,113,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,63888,45900.0,5181.0,4551.0,,,4166306.25,0.0,4166305.0,0.0,1.25,29.04,0.44
3417,114,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1.0,616891,729584.0,185014.0,6000.0,,93.0,36667044.0,0.0,27597261.0,9069780.0,3.0,674.09,0.73
3418,115,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,50283,48546.0,21454.0,2406.0,,68.0,3476212.5,0.0,2944692.0,531520.0,0.5,48.76,0.64
3419,116,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,59976,59976.0,36934.0,0.0,,56.0,5155568.0,0.0,2637011.0,2518558.0,0.0,152.14,1.57
3420,117,NonResidential,Hotel,NORTHEAST,2.0,50017,50017.0,0.0,0.0,,53.0,5448975.0,0.0,2128306.0,3320669.0,0.0,191.2,3.82
3422,119,NonResidential,K-12 School,EAST,1.0,67743,67743.0,0.0,0.0,,34.0,2646879.0,0.0,1337786.0,1309093.0,0.0,78.85,1.16
3423,120,NonResidential,K-12 School,EAST,1.0,194104,194104.0,0.0,0.0,,100.0,6219841.0,0.0,1887893.0,4331949.0,0.0,243.23,1.25
3424,121,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,1.0,63681,63681.0,35752.0,0.0,,63.0,4897760.0,0.0,4897760.0,0.0,0.0,34.14,0.34
3429,131,NonResidential,Other,NORTHEAST,1.0,56521,49000.0,0.0,0.0,,,6357632.0,0.0,6357631.0,0.0,1.0,44.32,0.78
3430,132,NonResidential,Other,NORTHEAST,1.0,206934,119146.0,0.0,0.0,,,4253577.5,0.0,2001103.0,2252474.0,0.5,133.58,0.65
3431,136,NonResidential,Hotel,NORTHWEST,1.0,51390,51390.0,0.0,0.0,,89.0,3611538.0,0.0,1398289.0,2213249.0,0.0,127.29,2.48
3433,138,SPS-District K-12,K-12 School,NORTHWEST,1.0,245587,245587.0,0.0,0.0,,92.0,11765682.0,0.0,3926011.0,7839670.0,1.0,443.73,1.81
3434,139,NonResidential,Hotel,NORTHWEST,1.0,69138,70609.0,0.0,0.0,,78.0,3242458.0,0.0,1802889.0,1439568.0,1.0,89.02,1.29
3436,144,NonResidential,Hotel,DOWNTOWN,1.0,190980,190980.0,19051.0,0.0,,98.0,6505995.0,0.0,4402910.0,2103084.0,1.0,142.39,0.75
3437,145,Nonresidential COS,Other,DOWNTOWN,1.0,284100,189750.0,0.0,0.0,,,14641502.0,4311136.0,9803021.0,527343.0,2.0,429.12,1.51
3438,147,NonResidential,Hospital,BALLARD,4.0,285333,302661.0,148865.0,0.0,,14.0,68090728.0,0.0,35237205.0,32853512.0,11.0,1990.5,6.98
3440,163,Nonresidential COS,Other,DOWNTOWN,1.0,61156,42755.0,29219.0,0.0,,,9363374.0,0.0,6947270.0,2416104.0,0.0,176.75,2.89
3441,167,NonResidential,Other,DOWNTOWN,1.0,59000,58000.0,0.0,0.0,,,2010454.625,0.0,1311669.0,698785.0,0.625,46.26,0.64
3442,168,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,148022,113702.0,32692.0,0.0,,76.0,7946961.0,0.0,4197462.0,3749499.0,0.0,228.4,1.41
3444,170,NonResidential,University,EAST,1.0,63330,64820.0,0.0,0.0,,,3059758.0,0.0,1911064.0,1148694.0,0.0,74.33,1.17
3445,172,Campus,University,DELRIDGE,27.0,441071,483000.0,0.0,0.0,,,38301744.0,0.0,25314575.0,12987166.0,3.0,866.23,1.96
3446,173,NonResidential,Small- and Mid-Sized Office,NORTHEAST,1.0,96300,92300.0,4944.0,0.0,,,16319835.0,0.0,13973696.0,2346137.0,2.0,222.02,2.31
3447,174,Nonresidential COS,Other,GREATER DUWAMISH,1.0,67356,68359.0,0.0,0.0,,,7475577.5,0.0,4182001.0,3293576.0,0.5,204.08,3.03
3452,179,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,54765,25765.0,25000.0,0.0,,,4253369.5,0.0,3569337.0,684032.0,0.5,61.21,1.12
3453,180,NonResidential,Other,GREATER DUWAMISH,1.0,89821,46483.0,37938.0,4579.0,,,1950092.0,0.0,67462.0,1882631.0,0.0,100.46,1.12
3454,182,NonResidential,University,MAGNOLIA / QUEEN ANNE,1.0,52611,52611.0,0.0,0.0,,,4116871.5,0.0,2479273.0,1637598.0,0.5,104.26,1.98
3455,183,NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,1.0,102100,135520.0,0.0,0.0,,89.0,4448582.5,0.0,2316298.0,2132284.0,0.5,129.39,0.93
3456,185,SPS-District K-12,K-12 School,NORTH,1.0,236758,238550.0,0.0,0.0,2016,96.0,8355988.5,0.0,4789948.0,3566039.0,1.5,222.78,0.94
3457,187,NonResidential,Other,CENTRAL,3.0,250981,137565.0,78357.0,0.0,,,13071700.0,4336524.5,8155002.0,580172.0,1.5,422.39,1.68
3459,190,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,64015,30000.0,15000.0,9015.0,,21.0,3242077.5,0.0,2657382.0,584696.0,0.0,49.58,0.77
3460,194,NonResidential,Retail Store,NORTH,1.0,530039,505103.0,24936.0,0.0,,98.0,27717034.0,0.0,16224529.0,11492503.0,2.0,723.47,1.36
3461,195,NonResidential,Other,NORTH,1.0,54224,47012.0,0.0,0.0,,,7265178.0,0.0,3344827.0,3920350.0,1.0,231.53,4.27
3462,197,NonResidential,Retail Store,NORTH,1.0,124342,122000.0,0.0,0.0,,76.0,8765978.0,0.0,8653621.0,112356.0,1.0,66.3,0.53
3463,198,NonResidential,Hospital,NORTHEAST,6.0,879000,879000.0,0.0,0.0,,10.0,253832464.0,0.0,115641210.0,138191238.0,16.0,8145.52,9.27
3464,200,NonResidential,Other,NORTHWEST,1.0,55442,28636.0,15385.0,8644.0,,72.0,3191228.25,0.0,1859345.0,1331883.0,0.25,83.7,1.51
3466,209,NonResidential,Self-Storage Facility,EAST,1.0,84870,85521.0,0.0,0.0,,,1381590.125,0.0,482635.0,898955.0,0.125,51.11,0.6
3467,211,Campus,University,NORTHWEST,11.0,582447,667335.0,0.0,0.0,,,35891484.0,0.0,33450832.0,2440648.0,4.0,362.82,0.52
3470,215,NonResidential,Warehouse,GREATER DUWAMISH,1.0,114297,114297.0,0.0,0.0,,61.0,2100097.5,0.0,912475.0,1187623.0,0.0,69.44,0.61
3473,220,NonResidential,Warehouse,GREATER DUWAMISH,1.0,234144,234144.0,0.0,0.0,,87.0,6744317.0,0.0,1316817.0,5427500.0,0.0,297.43,1.27
3474,223,NonResidential,Retail Store,DELRIDGE,1.0,64984,65425.0,0.0,0.0,,72.0,2944296.25,0.0,2613687.0,330609.0,0.25,35.78,0.55
3475,224,NonResidential,Retail Store,DELRIDGE,1.0,67745,67782.0,0.0,0.0,,37.0,9230223.0,0.0,2624102.0,6606121.0,0.0,369.14,5.45
3476,225,SPS-District K-12,K-12 School,DELRIDGE,1.0,367884,367884.0,0.0,0.0,2016,97.0,12265516.0,0.0,8205020.0,4060496.0,0.0,272.85,0.74
3479,228,NonResidential,Other,BALLARD,1.0,56000,56000.0,0.0,0.0,,,1851260.5,0.0,844864.0,1006396.0,0.5,59.34,1.06
3481,230,NonResidential,Self-Storage Facility,SOUTHWEST,1.0,52088,52088.0,0.0,0.0,,,1377519.0,0.0,523765.0,853755.0,0.0,48.99,0.94
3483,232,NonResidential,Hotel,LAKE UNION,1.0,93920,123920.0,30000.0,0.0,,79.0,9373179.0,0.0,4079217.0,5293961.0,1.0,309.6,2.5
3484,233,Nonresidential COS,Other,LAKE UNION,1.0,50000,43000.0,0.0,0.0,,,7548807.0,0.0,3797924.0,3750882.0,1.0,225.69,4.51
3485,234,Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,50292,42345.0,5000.0,4730.0,,,430473.375,0.0,430474.0,0.0,0.0,3.0,0.06
3486,235,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,153315,141591.0,0.0,0.0,,76.0,11171988.0,0.0,5530787.0,5641200.0,1.0,338.16,1.63
3488,238,Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1.0,91130,57968.0,32881.0,11850.0,,,9472358.0,0.0,7093984.0,2378373.0,1.0,175.77,1.93
3490,241,NonResidential,Hotel,NORTHWEST,1.0,64893,64893.0,0.0,0.0,,70.0,6197825.0,0.0,2620548.0,3577277.0,0.0,208.26,3.21
3493,244,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,44558,34416.0,7672.0,2470.0,,78.0,1677002.25,0.0,1317637.0,359365.0,0.25,28.27,0.63
3494,245,NonResidential,Other,GREATER DUWAMISH,1.0,1258280,1585960.0,0.0,0.0,,,59757440.0,0.0,49439914.0,10317518.0,8.0,892.63,0.56
3495,247,Nonresidential COS,Distribution Center,GREATER DUWAMISH,1.0,179161,117476.0,37321.0,25543.0,,,9436408.0,0.0,8772104.0,664302.0,2.0,96.43,0.54
3496,248,Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,58640,40831.0,16735.0,11533.0,,,3928695.25,0.0,3928695.0,0.0,0.25,27.39,0.47
3497,249,NonResidential,Other,GREATER DUWAMISH,1.0,1172127,1172127.0,0.0,0.0,,,58761304.0,0.0,40622381.0,18138920.0,3.0,1246.55,1.06
3498,250,NonResidential,Hotel,GREATER DUWAMISH,1.0,153882,135006.0,20600.0,9216.0,,64.0,12726789.0,0.0,6232233.0,6494555.0,1.0,388.37,2.31
3499,257,NonResidential,Warehouse,GREATER DUWAMISH,1.0,79600,79600.0,0.0,0.0,,34.0,2411402.25,0.0,2411402.0,0.0,0.25,16.81,0.21
3501,261,Campus,Large Office,GREATER DUWAMISH,14.0,302494,240984.0,72963.0,16766.0,,,53466684.0,0.0,45321378.0,8145300.0,6.0,748.55,2.24
3502,263,NonResidential,Other,NORTH,1.0,84739,335109.0,65000.0,13567.0,,,9134963.0,0.0,6995246.0,2139716.0,1.0,162.41,0.39
3503,264,NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,110785,58563.0,48520.0,29839.0,,,10557910.0,0.0,10139555.0,418354.0,1.0,92.91,0.84
3504,265,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1.0,116947,81740.0,27403.0,12851.0,,,10040121.0,0.0,5502627.0,4537494.0,0.0,279.35,2.39
3505,267,NonResidential,Hotel,DOWNTOWN,1.0,934292,495536.0,438756.0,49700.0,,,65047284.0,0.0,39364114.0,25683162.0,8.0,1638.46,1.75
3506,268,NonResidential,Hospital,CENTRAL,6.0,597519,601615.0,48607.0,0.0,,34.0,143423024.0,0.0,58754927.0,84668094.0,3.0,4906.33,8.21
3508,274,NonResidential,Warehouse,LAKE UNION,1.0,67236,67236.0,8161.0,0.0,,91.0,549181.375,0.0,423381.0,125800.0,0.375,9.63,0.13
3509,276,NonResidential,Hospital,EAST,9.0,1158691,1350182.0,387651.0,0.0,,29.0,293090784.0,122575032.0,168683602.0,1832129.0,21.0,10734.57,9.26
3510,278,NonResidential,Senior Care Community,DOWNTOWN,1.0,90185,55259.0,40091.0,3231.0,,,10105379.0,0.0,7428816.0,2676561.0,2.0,193.94,1.89
3512,280,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,1.0,51976,50350.0,0.0,0.0,,34.0,4189568.5,0.0,1673151.0,2516419.0,0.0,145.31,2.8
174,281,NonResidential,K-12 School,NORTHEAST,1.0,55653,55500.0,0.0,0.0,,84.0,2003474.0,0.0,10580.0,1992894.0,0.0,105.92,1.9
3514,282,NonResidential,Hotel,NORTHEAST,1.0,106860,106860.0,0.0,0.0,,49.0,11935719.0,0.0,3561742.0,8373976.0,1.0,469.57,4.39
3515,283,NonResidential,Small- and Mid-Sized Office,NORTH,1.0,50759,47079.0,3680.0,0.0,,62.0,3147042.0,0.0,2558533.0,588509.0,0.0,49.09,0.97
3516,284,NonResidential,Worship Facility,NORTHEAST,1.0,56772,56772.0,0.0,0.0,,46.0,2439484.5,0.0,975113.0,1464372.0,0.0,84.57,1.49
3517,285,NonResidential,Worship Facility,NORTHEAST,1.0,103000,103000.0,0.0,0.0,,42.0,4854429.0,0.0,2338435.0,2515995.0,0.0,149.93,1.46
3524,293,NonResidential,Other,DOWNTOWN,1.0,128766,109754.0,12876.0,6136.0,,,6057410.0,0.0,5732650.0,324760.0,0.0,57.21,0.44
3525,294,NonResidential,Residence Hall,DOWNTOWN,1.0,107572,63934.0,27143.0,10568.0,,76.0,5572503.0,3076446.5,2496056.0,0.0,0.5,254.87,2.37
3526,295,NonResidential,Other,DOWNTOWN,1.0,230880,203000.0,0.0,0.0,,,62197176.0,0.0,62197171.0,0.0,5.0,433.6,1.88
3527,296,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,1.0,56617,56617.0,0.0,0.0,,15.0,1986611.375,0.0,1191899.0,794712.0,0.375,50.52,0.89
3528,297,Multifamily MR (5-9),Mid-Rise Multifamily,NORTH,1.0,56745,43673.0,0.0,0.0,,54.0,2473962.5,0.0,1555274.0,918688.0,0.5,59.63,1.05
3529,299,Multifamily LR (1-4),Low-Rise Multifamily,GREATER DUWAMISH,1.0,67920,24600.0,12917.0,4150.0,,,2772124.5,0.0,2675217.0,96908.0,0.0,23.8,0.35
3531,302,NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,76086,77810.0,0.0,0.0,,,3267564.0,0.0,1563366.0,1704198.0,0.0,101.41,1.33
3532,313,NonResidential,Medical Office,MAGNOLIA / QUEEN ANNE,1.0,151000,146741.0,9805.0,0.0,,1.0,28731502.0,0.0,18745441.0,9986059.0,2.0,661.04,3.48
3533,314,NonResidential,Hotel,DOWNTOWN,1.0,122309,122309.0,0.0,0.0,,8.0,25453690.0,0.0,6322533.0,19131155.0,2.0,1060.13,8.67
3534,315,Campus,Other,DOWNTOWN,4.0,215476,217088.0,0.0,0.0,,,24017770.0,0.0,13788853.0,10228916.0,1.0,639.39,2.97
3535,316,NonResidential,Hotel,DOWNTOWN,1.0,215473,277000.0,0.0,0.0,,29.0,26659244.0,0.0,13763542.0,12895700.0,2.0,780.84,3.07
3536,317,Nonresidential COS,Other,DOWNTOWN,1.0,69400,69400.0,0.0,0.0,,,14833476.0,0.0,10534370.0,4299104.0,2.0,301.76,4.35
3537,318,NonResidential,Mixed Use Property,DOWNTOWN,1.0,62900,32494.0,29793.0,3384.300049,,,10394330.0,0.0,3787933.0,6606397.0,0.0,377.27,6.0
3538,319,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,56500,33000.0,7000.0,0.0,,98.0,1380293.4375,492761.8125,887532.0,0.0,0.0,44.22,0.78
3539,320,NonResidential,Warehouse,GREATER DUWAMISH,1.0,203504,159372.0,44132.0,0.0,,72.0,3785282.5,0.0,3785282.0,0.0,0.5,26.39,0.13
3540,322,NonResidential,Large Office,DOWNTOWN,1.0,74003,100734.0,0.0,0.0,,20.0,9788717.0,0.0,9788716.0,0.0,1.0,68.24,0.68
3541,323,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,59158,62108.0,17570.0,0.0,,57.0,5007401.0,0.0,4286102.0,721298.0,1.0,68.19,0.88
3542,324,NonResidential,Large Office,DOWNTOWN,1.0,212210,173786.0,29865.0,25373.0,,39.0,18661606.0,0.0,18246151.0,415452.0,3.0,149.27,0.64
3543,326,NonResidential,Large Office,DOWNTOWN,1.0,369996,383942.0,127192.0,0.0,2012,74.0,24755086.0,0.0,24755084.0,0.0,2.0,172.58,0.47
3544,327,NonResidential,Retail Store,DOWNTOWN,1.0,693450,361107.0,332343.0,0.0,,93.0,40062888.0,21230.80078,37497068.0,2544584.0,5.19922000169754,398.19,0.57
3546,329,NonResidential,Large Office,DOWNTOWN,1.0,542671,542461.0,219045.0,9337.0,2017201620152014201320122011201020092008,90.0,30985420.0,0.0,27883939.0,3101477.0,4.0,359.11,0.48
3547,330,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,55652,45260.0,6187.0,0.0,,90.0,3444270.0,2086424.75,1357845.0,0.0,0.25,170.51,2.69
